T1 = 216, T2 = 217, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 17.284403930861245
T1 = 217, T2 = 218, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 6.546873670261267
T1 = 218, T2 = 219, optimal x = VectorD(7.76953,	-7.85547,	1.64453,	2.14453,	3.14453,	4.14453), y = 3.152683203498252
T1 = 219, T2 = 220, optimal x = VectorD(8.02049,	-7.85320,	1.58430,	2.08430,	3.08430,	4.08430), y = 8.616815187911662
T1 = 220, T2 = 221, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 3.894344037714032
T1 = 221, T2 = 222, optimal x = VectorD(7.52951,	-7.80382,	1.69618,	2.19618,	3.19618,	4.19618), y = 10.119386014781126
T1 = 222, T2 = 223, optimal x = VectorD(8.02344,	-7.97656,	1.48438,	2.02344,	3.02344,	4.39844), y = 3.889195893655712
T1 = 223, T2 = 224, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 0.8805031446540881
T1 = 224, T2 = 225, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 5.464628095462608
T1 = 225, T2 = 226, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 3.331571396209318
T1 = 226, T2 = 227, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 5.316363104381537
T1 = 227, T2 = 228, optimal x = VectorD(8.04167,	-7.95833,	1.54167,	2.04167,	3.04167,	4.04167), y = 8.792366570193124
